PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,2/22/2020,12:16:07 PM,1,1,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Undefined,2,Top,0,0,0,Undefined,Fastball,Undefined,Undefined,Undefined,Undefined,0,0,,79.08661082,0.204436631,-2.560056342,1921.991633,226.0413923,1:30,5.46603383,1.647570261,5.168815004,-27.72704002,18.06220249,18.7756659,3.348012141,0.801627933,72.22614377,-4.934348485,0.926804285,0.487027235,,,,,,,,,,,,-10.57875953,9.436161616,-1.423288254,50,5.46428023,4.527548418,-114.8951329,-0.489783892,-14.14316825,21.25529896,-19.55846533,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,fec112c8-5596-11ea-b030-484d7ee4b65b
2,2/22/2020,12:16:33 PM,1,2,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Undefined,2,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.24790458,0.97442159,-2.636682845,1986.497909,221.6944469,1:30,5.598711243,1.395036775,4.91827537,-23.39228127,18.43442763,16.45630301,4.571597459,0.272023567,75.66264807,-3.352526118,0.408972315,0.465477149,,,,,,,,,,,,-9.326425569,9.331729604,-1.151371401,50,5.674728826,4.98312136,-120.8465977,1.230265473,-13.76373446,23.9987691,-18.40248652,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,12df8175-5597-11ea-b030-484d7ee4b65b
3,2/22/2020,12:16:45 PM,1,3,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Windup,2,Top,0,1,0,Other,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,69.52412153,2.795307532,-0.560367679,2305.787611,86.4340278,9:00,5.553600308,1.305647792,4.535842389,-61.20269398,-0.73113254,-10.81984269,3.116842455,-0.129511462,64.20595695,-8.353191244,-2.542059778,0.559689436,,,,,,,,,,,,5.406354848,-1.113029009,-1.237353474,50,5.788473325,1.325728107,-100.9212844,3.012185883,5.603565945,15.65950865,-33.32767824,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,1a0b89ed-5597-11ea-b030-484d7ee4b65b
4,2/22/2020,12:16:57 PM,1,4,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Windup,2,Top,0,1,0,Undefined,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,69.39683558,1.286009198,-1.642039097,1630.477237,223.4637308,1:30,5.673821472,1.217265112,5.121557586,-41.68166008,17.8462207,16.96701956,3.412228013,1.084269992,63.58125164,-6.421618691,1.506857713,0.555305186,,,,,,,,,,,,-9.357048177,9.006909646,-1.076012922,50,5.762845031,2.403954162,-100.8463467,1.068458498,-9.639156708,16.34998592,-22.89558682,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,21817da4-5597-11ea-b030-484d7ee4b65b
5,2/22/2020,12:17:16 PM,1,5,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Windup,2,Top,0,2,0,Undefined,Fastball,Undefined,Undefined,Undefined,Undefined,0,0,,81.731264,-1.656830109,-4.011902438,1939.161253,234.4194019,1:45,5.385789861,1.37033787,5.176393868,-27.43434094,15.13810487,21.21576573,1.536495315,-0.642475348,75.55268028,-6.699685072,-0.098441465,0.469608359,,,,,,,,,,,,-12.1018379,8.340503412,-1.012987279,50,5.210705145,7.603133538,-118.6267565,-4.366661601,-17.44886442,20.17646781,-20.14841125,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,2c77ffce-5597-11ea-b030-484d7ee4b65b
6,2/22/2020,12:17:30 PM,1,6,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Windup,2,Top,0,2,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,71.44974489,0.863261923,-0.826899181,2329.099414,77.0719421,8:30,5.495079012,1.141864087,4.659080119,-59.34815036,-2.409894188,-10.26530304,1.369544577,-0.49908934,66.28520333,-9.934063415,-2.711916662,0.543092242,50.77131476,57.63228076,116.9404702,4546.80447,,,,109.7619418,52.05433053,127.2994606,3.293986206,5.07299849,-1.473733754,-1.048465738,50,5.530512414,1.823431685,-103.8300822,-0.313376525,5.558321674,16.78665766,-33.78877134,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,3633c259-5597-11ea-b030-484d7ee4b65b
7,2/22/2020,12:17:49 PM,1,7,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Windup,2,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.58986674,-2.023291421,-3.582835448,2043.256177,221.6468094,1:30,5.582572292,1.393929472,5.165129052,-20.46071844,21.05601789,18.75990603,1.968971596,-0.418774485,75.56072712,-5.829391397,-0.083678897,0.463749144,,,,,,,,,,,,-10.98948223,11.71915633,-1.073857738,50,5.378502664,6.948145856,-121.1452344,-4.983177341,-16.16299178,25.94802376,-14.93787461,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,404ee684-5597-11ea-b030-484d7ee4b65b
8,2/22/2020,12:18:12 PM,1,8,"Parks, Evan",1000084165,Right,ROA_COL,"Fisher, Andrew",1000084293,Left,ELI_BLU,Windup,2,Top,0,2,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.86764893,-0.895317873,-2.070164476,2076.932811,229.3475688,1:45,5.520344974,1.251656847,5.11523073,-26.25047185,14.52356957,16.95823637,2.488867443,0.714062734,76.72641818,-5.747902363,1.076396758,0.45958241,,,,,,,,,,,,-9.468525396,7.86619592,-1.069966325,50,5.416090075,3.816136978,-121.8609465,-2.816998543,-14.24377567,23.85659202,-20.3407033,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,493ffa2f-5597-11ea-b030-484d7ee4b65b
9,2/22/2020,12:18:23 PM,2,1,"Parks, Evan",1000084165,Right,ROA_COL,"Thompson, JT",1000084303,Left,ELI_BLU,Windup,2,Top,0,0,0,Undefined,ChangeUp,Undefined,Undefined,Undefined,Undefined,0,0,,70.71896438,0.036049355,-2.159247459,1842.180465,229.0143888,1:45,5.786111383,1.145020289,5.042131166,-40.9347217,16.57465526,19.13886722,2.408910378,0.702365718,64.92182282,-7.507133099,1.387515207,0.545809197,,,,,,,,,,,,-10.61268492,8.662018637,-0.954212371,50,5.757519768,3.307746746,-102.7489911,-1.146488993,-11.34792466,16.98880735,-22.91193104,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,51a92618-5597-11ea-b030-484d7ee4b65b
10,2/22/2020,12:18:34 PM,2,2,"Parks, Evan",1000084165,Right,ROA_COL,"Thompson, JT",1000084303,Left,ELI_BLU,Windup,2,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.87973923,-0.243423863,-2.344775517,2024.6865,226.0114571,1:30,5.492951671,1.288892955,5.263319119,-22.89928919,18.07232029,18.7618332,3.355827684,0.648615588,75.74744283,-4.519997366,1.16593535,0.460694503,66.72722759,39.24761334,-125.1736855,3513.916485,-69.74641956,44.28158425,-85.0612828,187.8242868,74.74521022,-131.8973524,2.99800354,-10.65270089,9.633999227,-1.087961356,50,5.454214514,4.356218456,-121.7868628,-1.287490086,-15.81683912,26.46376337,-17.86974982,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,57ad828e-5597-11ea-b030-484d7ee4b65b
